oblast,id,name,value,ADM1_EN,ADM2_EN,color_
16,163,Тюлькубасский район — село имени Турара Рыскулова,109.2,Turkistan Region,Tulkibas District,white
15,149,Уалихановский район — село Кишкенеколь,75.2,North Kazakhstan Region,Ualikhanov District,white
11,114,Узункольский район — село Узунколь,61.6,Kostanay Region,Uzunkol District,white
3,34,Уилский район — село Уил,86.2,Aktobe Region,Oiyl District,white
4,46,Уйгурский район — село Чунджа,104.6,Almaty Region,Uygur District,white
6,61,Уланский район — село имени Касыма Кайсенова,87.2,East Kazakhstan Region,Ulan District,white
17,166,Улытауский район — село Улытау,80.2,Ulytau Region,Ulytau District,white
1,8,Урджарский район — село Урджар,85.5,Abay Region,Urzhar District,white
14,136,Успенский район — село Успенка,95.2,Pavlodar Region,Uspen District,white
11,115,Фёдоровский район — село Фёдоровка,85.4,Kostanay Region,Fyodorovsky District,white
3,35,Хобдинский район — село Кобда,81.7,Aktobe Region,Kobda District,white
3,36,Хромтауский район — город Хромтау,115.3,Aktobe Region,Khromtau District,white
2,24,Целиноградский район — село Акмол,148.1,Akmola Region,Tselinograd District,white
9,92,Чингирлауский район — село Чингирлау,80.9,West Kazakhstan Region,Shyngyrlau District,white
3,37,Шалкарский район — город Шалкар,96.1,Aktobe Region,Shalkar District,white
16,164,Шардаринский район — город Шардара,110.3,Turkistan Region,Shardara District,white
6,62,Шемонаихинский район — город Шемонаиха,86.3,East Kazakhstan Region,Shemonaikha District,white
10,99,Шетский район — село Аксу-Аюлы,84.3,Karaganda Region,Shet District,white
12,122,Шиелийский район — село Шиели,111.3,Kyzylorda Region,Shieli District,white
2,25,Шортандинский район — село Шортанды,94.1,Akmola Region,Shortandy District,white
7,72,Шуский район — село Толе би,111.2,Jambyl Region,Shu District,white
14,137,Щербактинский район — село Шарбакты,88.0,Pavlodar Region,Sharbaqty District,white
,,,,,,white
,,,,Abay Region,Kurchatov,white
,,,,Abay Region,Semey,white
,,,,Akmola Region,Kokshetau,white
,,,,Akmola Region,Stepnogorsk,white
,,,,Aktobe Region,Aktobe,white
,,,,Almaty Region,Qonayev,white
,,,,Almaty,Alatau District,white
,,,,Almaty,Almaly District,white
,,,,Almaty,Auezov District,white
,,,,Almaty,Bostandyk District,white
,,,,Almaty,Jetysu District,white
,,,,Almaty,Medeu District,white
,,,,Almaty,Nauryzbay District,white
,,,,Almaty,Turksib District,white
,,,,Astana,Almaty District,white
,,,,Astana,Baikonur District,white
,,,,Astana,Saryarka District,white
,,,,Astana,Yesil District,white
,,,,Atyrau Region,Atyrau,white
,,,,East Kazakhstan Region,Ridder,white
,,,,East Kazakhstan Region,Ust-Kamenogorsk,white
,,,,Jambyl Region,Taraz,white
,,,,Jambyl Region,Zhambyl District,white
,,,,Jetisu Region,Taldykorgan,white
,,,,Jetisu Region,Tekeli,white
,,,,Karaganda Region,Balkhash,white
,,,,Karaganda Region,Karaganda,white
,,,,Karaganda Region,Priozersk,white
,,,,Karaganda Region,Saran,white
,,,,Karaganda Region,Shakhtinsk,white
,,,,Karaganda Region,Termitau,white
,,,,Kostanay Region,Arqalyk,white
,,,,Kostanay Region,Kostanay,white
,,,,Kostanay Region,Lisakovsk,white
,,,,Kostanay Region,Rudnyy,white
,,,,Kyzylorda Region,Baikonur,white
,,,,Kyzylorda Region,Kyzylorda,white
,,,,Mangystau Region,Aktau,white
,,,,Mangystau Region,Zhanaozen,white
,,,,North Kazakhstan Region,Petropavlovsk Public Administration,white
,,,,Pavlodar Region,Aksu,white
,,,,Pavlodar Region,Ekibastuz,white
,,,,Pavlodar Region,Pavlodar,white
,,,,Shymkent,Abaysky District,white
,,,,Shymkent,Al-Farabi District,white
,,,,Shymkent,Enbekshinsky District,white
,,,,Shymkent,Karatau District,white
,,,,Turkistan Region,Arys,white
,,,,Turkistan Region,Kentau,white
,,,,Turkistan Region,Turkestan,white
,,,,Ulytau Region,Jezkazgan,white
,,,,Ulytau Region,Karazhal,white
,,,,Ulytau Region,Satbayev,white
,,,,West Kazakhstan Region,Uralsk,white
